	Kingdom	Phylum	Class	Order	Family	Genus
ASV 29677 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	NA	NA
ASV 29678 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 29679 _	Bacteria	NA	NA	NA	NA	NA
ASV 29680 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	4572-13	NA
ASV 29681 _	Bacteria	Proteobacteria	Gammaproteobacteria	SS1-B-04-55	NA	NA
ASV 29682 _	Bacteria	Latescibacteria	NA	NA	NA	NA
ASV 29683 _	Archaea	Euryarchaeota	Thermoplasmata	NA	NA	NA
ASV 29684 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 29685 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	NA
ASV 29686 _	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	NA	NA
ASV 29687 _	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12411	NA
ASV 29688 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 29689 _	Archaea	NA	NA	NA	NA	NA
ASV 29690 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	NA
ASV 29691 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	NA
ASV 29692 _	Bacteria	NA	NA	NA	NA	NA
ASV 29693 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula
ASV 29694 _	Bacteria	Zixibacteria	NA	NA	NA	NA
ASV 29695 _	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus
ASV 29696 _	Bacteria	Actinobacteria	Coriobacteriia	CG2-30-50-142	NA	NA
ASV 29697 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA
ASV 29698 _	Archaea	NA	NA	NA	NA	NA
ASV 29699 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29700 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 29701 _	Bacteria	Planctomycetes	Phycisphaerae	NA	NA	NA
ASV 29702 _	Archaea	Hadesarchaeaeota	NA	NA	NA	NA
ASV 29703 _	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA
ASV 29704 _	Bacteria	Armatimonadetes	NA	NA	NA	NA
ASV 29705 _	Bacteria	Planctomycetes	vadinHA49	NA	NA	NA
ASV 29706 _	Bacteria	NA	NA	NA	NA	NA
ASV 29707 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29708 _	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	NA	NA
ASV 29709 _	Bacteria	NA	NA	NA	NA	NA
ASV 29710 _	Bacteria	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	SM23-31
ASV 29711 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 29712 _	Archaea	Crenarchaeota	Bathyarchaeia	NA	NA	NA
ASV 29713 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	NA	NA
ASV 29714 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula
ASV 29715 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 29716 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 29717 _	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	S15A-MN91	NA
ASV 29718 _	Bacteria	Patescibacteria	ABY1	NA	NA	NA
ASV 29719 _	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	NA	NA
ASV 29720 _	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12411	NA
ASV 29721 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	NA
ASV 29722 _	Bacteria	NA	NA	NA	NA	NA
ASV 29723 _	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	NA
ASV 29724 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 29725 _	Bacteria	Planctomycetes	Phycisphaerae	C86	NA	NA
ASV 29726 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29727 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29728 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Criblamydiaceae	Estrella
ASV 29729 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29730 _	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
ASV 29731 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 29732 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	NA
ASV 29733 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	cvE6	NA
ASV 29734 _	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
ASV 29735 _	Archaea	Euryarchaeota	Thermoplasmata	NA	NA	NA
ASV 29736 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 29737 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA
ASV 29738 _	Bacteria	Proteobacteria	Gammaproteobacteria	BD72BR169	NA	NA
ASV 29739 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 29740 _	Bacteria	Proteobacteria	Gammaproteobacteria	MBAE14	NA	NA
ASV 29741 _	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA
ASV 29742 _	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10
ASV 29743 _	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group
ASV 29744 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 29745 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfonatronobacter
ASV 29746 _	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA
ASV 29747 _	Bacteria	WOR-1	NA	NA	NA	NA
ASV 29748 _	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
ASV 29749 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 29750 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 29751 _	Bacteria	Firmicutes	NA	NA	NA	NA
ASV 29752 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA
ASV 29753 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 29754 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 29755 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 29756 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081_sediment_group
ASV 29757 _	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	MAT-CR-H6-H10	NA
ASV 29758 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29759 _	Bacteria	Zixibacteria	NA	NA	NA	NA
ASV 29760 _	Bacteria	Chlamydiae	LD1-PA32	NA	NA	NA
ASV 29761 _	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA
ASV 29762 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	NA	NA
ASV 29763 _	Bacteria	Latescibacteria	NA	NA	NA	NA
ASV 29764 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 29765 _	Bacteria	NA	NA	NA	NA	NA
ASV 29766 _	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12409	NA
ASV 29767 _	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
ASV 29768 _	Bacteria	WOR-1	NA	NA	NA	NA
ASV 29769 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	NA
ASV 29770 _	Bacteria	Zixibacteria	NA	NA	NA	NA
ASV 29771 _	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA
ASV 29772 _	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	NA
ASV 29773 _	Bacteria	Acidobacteria	NA	NA	NA	NA
ASV 29774 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 29775 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 29776 _	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	NA
ASV 29777 _	Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus_Scalindua
ASV 29778 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage
ASV 29779 _	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12411	NA
ASV 29780 _	Bacteria	Aegiribacteria	NA	NA	NA	NA
ASV 29781 _	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA
ASV 29782 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	NA	NA
ASV 29783 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29784 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 29785 _	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41	NA	NA
ASV 29786 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 29787 _	Bacteria	NA	NA	NA	NA	NA
ASV 29788 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 29789 _	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
ASV 29790 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	NA
ASV 29791 _	Bacteria	Planctomycetes	Pla4_lineage	NA	NA	NA
ASV 29792 _	Bacteria	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix
ASV 29793 _	Bacteria	Planctomycetes	Phycisphaerae	CCM11a	NA	NA
ASV 29794 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	NA
ASV 29795 _	NA	NA	NA	NA	NA	NA
ASV 29796 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29797 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29798 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29799 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 29800 _	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA
ASV 29801 _	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
ASV 29802 _	Bacteria	NA	NA	NA	NA	NA
ASV 29803 _	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA
ASV 29804 _	Bacteria	NA	NA	NA	NA	NA
ASV 29805 _	Archaea	Euryarchaeota	Thermoplasmata	Marine_Benthic_Group_D_and_DHVEG-1	NA	NA
ASV 29806 _	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
ASV 29807 _	Bacteria	Patescibacteria	ABY1	NA	NA	NA
ASV 29808 _	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Ryanbacteria	NA	NA
ASV 29809 _	Bacteria	NA	NA	NA	NA	NA
ASV 29810 _	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
ASV 29811 _	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	NA
ASV 29812 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 29813 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29814 _	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	NA
ASV 29815 _	Bacteria	Patescibacteria	NA	NA	NA	NA
ASV 29816 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
ASV 29817 _	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	NA	NA
ASV 29818 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV 29819 _	Archaea	NA	NA	NA	NA	NA
ASV 29820 _	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Colwellbacteria	NA	NA
ASV 29821 _	Bacteria	NA	NA	NA	NA	NA
ASV 29822 _	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	NA
ASV 29823 _	Bacteria	NA	NA	NA	NA	NA
ASV 29824 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera
ASV 29825 _	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
ASV 29826 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 29827 _	Bacteria	Actinobacteria	WCHB1-81	NA	NA	NA
ASV 29828 _	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
ASV 29829 _	Bacteria	NA	NA	NA	NA	NA
ASV 29830 _	Bacteria	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	SM23-31
ASV 29831 _	Bacteria	NA	NA	NA	NA	NA
ASV 29832 _	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA
ASV 29833 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 29834 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29835 _	Bacteria	NA	NA	NA	NA	NA
ASV 29836 _	Bacteria	NA	NA	NA	NA	NA
ASV 29837 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Bythopirellula
ASV 29838 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	NA
ASV 29839 _	Bacteria	Planctomycetes	OM190	NA	NA	NA
ASV 29840 _	Bacteria	Acidobacteria	Subgroup_9	NA	NA	NA
ASV 29841 _	Bacteria	Latescibacteria	NA	NA	NA	NA
ASV 29842 _	Bacteria	Latescibacteria	NA	NA	NA	NA
ASV 29843 _	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Campbellbacteria	NA	NA
ASV 29844 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 29845 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	UASB-TL25	NA
ASV 29846 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 29847 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29848 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 29849 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29850 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 29851 _	Bacteria	Lentisphaerae	Oligosphaeria	NA	NA	NA
ASV 29852 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia
ASV 29853 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29854 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 29855 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29856 _	Bacteria	Planctomycetes	Phycisphaerae	S-70	NA	NA
ASV 29857 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29858 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage
ASV 29859 _	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta_2
ASV 29860 _	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	NA
ASV 29861 _	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	NA	NA
ASV 29862 _	Bacteria	Elusimicrobia	Elusimicrobia	Lineage_IV	NA	NA
ASV 29863 _	Bacteria	Nitrospirae	BMS9AB35	NA	NA	NA
ASV 29864 _	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
ASV 29865 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29866 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA
ASV 29867 _	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
ASV 29868 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 29869 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 29870 _	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA
ASV 29871 _	Bacteria	NA	NA	NA	NA	NA
ASV 29872 _	Bacteria	Planctomycetes	Planctomycetacia	NA	NA	NA
ASV 29873 _	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NA
ASV 29874 _	Bacteria	NA	NA	NA	NA	NA
ASV 29875 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29876 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 29877 _	Bacteria	Planctomycetes	Phycisphaerae	CCM11a	NA	NA
ASV 29878 _	Bacteria	NA	NA	NA	NA	NA
ASV 29879 _	Bacteria	NA	NA	NA	NA	NA
ASV 29880 _	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA
ASV 29881 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 29882 _	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	NA
ASV 29883 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 29884 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29885 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29886 _	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	NA	NA
ASV 29887 _	Bacteria	Chloroflexi	NA	NA	NA	NA
ASV 29888 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29889 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29890 _	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
ASV 29891 _	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	NA
ASV 29892 _	Bacteria	NA	NA	NA	NA	NA
ASV 29893 _	Bacteria	Proteobacteria	Gammaproteobacteria	AT-s2-59	NA	NA
ASV 29894 _	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA
ASV 29895 _	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
ASV 29896 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19	NA
ASV 29897 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA
ASV 29898 _	Bacteria	Planctomycetes	BD7-11	NA	NA	NA
ASV 29899 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	NA
ASV 29900 _	Bacteria	Omnitrophicaeota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
ASV 29901 _	Bacteria	NA	NA	NA	NA	NA
ASV 29902 _	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA	NA
ASV 29903 _	Bacteria	Proteobacteria	Deltaproteobacteria	PB19	NA	NA
ASV 29904 _	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Berkiella
ASV 29905 _	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	NA
ASV 29906 _	Bacteria	Actinobacteria	NA	NA	NA	NA
ASV 29907 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29908 _	Bacteria	NA	NA	NA	NA	NA
ASV 29909 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29910 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 29911 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29912 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 29913 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29914 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV 29915 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29916 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV 29917 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29918 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV 29919 _	Bacteria	NA	NA	NA	NA	NA
ASV 29920 _	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	NA
ASV 29921 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 29922 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29923 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29924 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 29925 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29926 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 29927 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29928 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Eel-36e1D6	NA
ASV 29929 _	Bacteria	Proteobacteria	Deltaproteobacteria	PB19	NA	NA
ASV 29930 _	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	NA
ASV 29931 _	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
ASV 29932 _	Bacteria	Proteobacteria	Deltaproteobacteria	MBNT15	NA	NA
ASV 29933 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV 29934 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29935 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	UASB-TL25	NA
ASV 29936 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29937 _	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
ASV 29938 _	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gimesiaceae	NA
ASV 29939 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 29940 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia
ASV 29941 _	Bacteria	Planctomycetes	NA	NA	NA	NA
ASV 29942 _	Bacteria	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	JdFR-76
ASV 29943 _	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	NA
ASV 29944 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 29945 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	bacteriap25	NA
ASV 29946 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 29947 _	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA
ASV 29948 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 29949 _	Bacteria	Elusimicrobia	NA	NA	NA	NA
ASV 29950 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29951 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 29952 _	Bacteria	NA	NA	NA	NA	NA
ASV 29953 _	Bacteria	Actinobacteria	NA	NA	NA	NA
ASV 29954 _	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	NA
ASV 29955 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 29956 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29957 _	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA
ASV 29958 _	Bacteria	NA	NA	NA	NA	NA
ASV 29959 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 29960 _	Bacteria	Gemmatimonadetes	PAUC43f_marine_benthic_group	NA	NA	NA
ASV 29961 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 29962 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29963 _	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	SH-PL14
ASV 29964 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29965 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA
ASV 29966 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 29967 _	Bacteria	Planctomycetes	OM190	NA	NA	NA
ASV 29968 _	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
ASV 29969 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 29970 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29971 _	Bacteria	Acidobacteria	Subgroup_22	NA	NA	NA
ASV 29972 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
ASV 29973 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 29974 _	Bacteria	Planctomycetes	BD7-11	NA	NA	NA
ASV 29975 _	Bacteria	NA	NA	NA	NA	NA
ASV 29976 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 29977 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Boseongicola
ASV 29978 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 29979 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	NA
ASV 29980 _	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV 29981 _	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus
ASV 29982 _	Bacteria	NA	NA	NA	NA	NA
ASV 29983 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 29984 _	NA	NA	NA	NA	NA	NA
ASV 29985 _	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA
ASV 29986 _	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA	NA
ASV 29987 _	Bacteria	Lentisphaerae	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera
