	Kingdom	Phylum	Class	Order	Family	Genus
ASV 7264 _	Archaea	Euryarchaeota	Thermococci	Methanofastidiosales	NA	NA
ASV 7265 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7266 _	Archaea	Hydrothermarchaeota	NA	NA	NA	NA
ASV 7267 _	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
ASV 7268 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 7269 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 7270 _	Bacteria	NA	NA	NA	NA	NA
ASV 7271 _	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
ASV 7272 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 7273 _	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
ASV 7274 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 7275 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 7276 _	Bacteria	Chloroflexi	Dehalococcoidia	vadinBA26	NA	NA
ASV 7277 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 7278 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 7279 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 7280 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Eel-36e1D6	NA
ASV 7281 _	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA
ASV 7282 _	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Yanofskybacteria	NA	NA
ASV 7283 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7284 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7285 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 7286 _	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
ASV 7287 _	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	Blastocatella
ASV 7288 _	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA	NA
ASV 7289 _	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Dasania
ASV 7290 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	UASB-TL25	NA
ASV 7291 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 7292 _	Bacteria	Planctomycetes	OM190	NA	NA	NA
ASV 7293 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	Pelagibius
ASV 7294 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 7295 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 7296 _	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10
ASV 7297 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 7298 _	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA
ASV 7299 _	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	NA	NA
ASV 7300 _	Bacteria	Patescibacteria	Microgenomatia	NA	NA	NA
ASV 7301 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfofaba
ASV 7302 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfatiglans
ASV 7303 _	Archaea	NA	NA	NA	NA	NA
ASV 7304 _	Bacteria	NA	NA	NA	NA	NA
ASV 7305 _	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	NA
ASV 7306 _	Bacteria	BHI80-139	NA	NA	NA	NA
ASV 7307 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7308 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	PS-B29	NA
ASV 7309 _	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	NA
ASV 7310 _	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
ASV 7311 _	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
ASV 7312 _	Bacteria	Bacteroidetes	OC31	NA	NA	NA
ASV 7313 _	Bacteria	Planctomycetes	vadinHA49	NA	NA	NA
ASV 7314 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SM23-30	NA
ASV 7315 _	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella
ASV 7316 _	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	NA
ASV 7317 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 7318 _	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	NA	NA
ASV 7319 _	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	NA
ASV 7320 _	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA
