	SRR6171591	SRR6171610	SRR6171613	SRR6171628	SRR6171632	SRR6171861	SRR6171863	SRR6171996	SRR6172005	SRR6172047	SRR6172048	SRR6172125	SRR6172126	SRR6172133	SRR6172162	SRR6172163	SRR6172165	SRR6172166	SRR6172218	SRR6172219	SRR6172263	SRR6172267	SRR6173526	SRR6173691	SRR6173720	SRR6173734	SRR6173743	SRR6173747	SRR6173774	SRR6173776
ASV 97 _	22	250	82	0	9	15	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	67	0	469	122	218	200	124
ASV 98 _	0	198	252	21	0	93	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	231	22	0	81	66	70
ASV 99 _	0	364	239	99	0	42	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	251	45	115	0	245	35	54
ASV 100 _	0	0	0	0	0	0	0	6	91	137	55	142	101	94	107	420	178	50	133	25	92	75	0	0	0	0	0	0	0	0
ASV 101 _	76	15	0	216	1154	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	37	5	0	71	0	0	0
ASV 102 _	149	16	17	320	740	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	67	0	15	48	12	12	0
ASV 103 _	178	75	138	147	88	35	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	188	3	52	279	134	58	75
ASV 104 _	581	28	0	73	164	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	8	685	22	13	21
ASV 105 _	4	448	164	21	0	157	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	118	248	21	0	7	0	55
ASV 106 _	0	0	0	0	0	0	0	17	27	126	4	243	80	76	33	586	34	37	123	73	38	115	0	0	0	0	0	0	0	0
ASV 107 _	2	87	158	21	4	137	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	272	85	27	0	35	62	90
ASV 108 _	85	17	0	389	268	9	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	126	40	8	8	2	0	0
ASV 109 _	269	10	23	411	169	9	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	72	29	0	13	3	0	0
ASV 110 _	0	0	1578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 111 _	115	64	11	133	522	13	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	57	22	22	334	60	19	36
ASV 112 _	0	325	165	48	6	67	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	299	64	64	0	60	54	26
ASV 113 _	27	111	35	22	43	23	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	69	39	311	274	123	184	175
ASV 114 _	112	10	23	57	72	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	727	5	15	44	23	0	12
ASV 115 _	0	0	0	0	0	0	0	0	39	159	0	262	65	77	32	479	45	39	99	39	58	142	0	0	0	0	0	0	0	0
ASV 116 _	20	396	157	30	0	85	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	112	127	77	9	54	50	131
ASV 117 _	10	32	13	521	365	13	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	87	66	6	0	0	5	0
ASV 118 _	54	0	0	19	37	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	9	0	398	267	322	206	135
